"Code","Name","Description","Quantity","Available","Status","Maintenance Interval","Location","Assigned Machine"
"mbkj","Mouse","","2","2","available","1 hours","Workshop B","production A"
"shoes","Pen copper","","12","12","available","2 hours","kigali","Welding Station 2"
"rw34","Vise","Vise","10","10","available","1 hours","kigali","production A"
"CD87642","Cable","Cable for the machine","100","8","available","2 hours","Workshop","Cutting part"
"DR646","drller","","10","19","available","2 hours","Stock x","production A"
"Series RX & L52","METERING PUMPS","Series RX & L52","12","10","available","1 hours","stock a","production 1"
"HP-001","Hydraulic Press","Heavy duty hydraulic press for metal forming","2","3","available","30 days","Workshop A","Production Line 1"
"PS-008","Paint Sprayer","HVLP paint spray system","3","2","available","30 days","Paint Shop","Finishing Area"
"AC-004","Air Compressor","Industrial air compressor 150 PSI","30","30","available","45 days","Workshop A","Central Air System"
"DP-005","Drill Press","Bench-mounted drill press","4","2","available","2 hours","Workshop C","Machining Area"
"AG-006","Angle Grinder","Portable angle grinder 9 inch","10","7","available","30 days","Tool Room","General Use"
"WM-002","Welding Machine","Industrial MIG welding equipment","5","4","available","1 days","Workshop B","Welding Station 2"
"FL-003","Forklift","Electric forklift 3-ton capacity","3","1","maintenance","1 days","Warehouse","Loading Bay"
"LM-007","Lathe Machine","CNC lathe for precision work","1","0","maintenance","60 days","Workshop C","CNC Section"
